x,y,steering,heading
11.14425622,5.118104664,0.122044824,-0.267031893
11.14960649,5.116909116,0.122278627,-0.266663906
11.15495391,5.115716781,0.122512356,-0.266295444
11.16030049,5.114527211,0.1227461,-0.265926369
11.16564344,5.113341027,0.122979736,-0.265556875
11.1709849,5.112157754,0.123213358,-0.265186814
11.17633015,5.11097623,0.123447197,-0.264815821
11.18167106,5.109798249,0.123680898,-0.264444459
11.18700982,5.10862333,0.123914556,-0.264072577
11.19235239,5.107450167,0.124148432,-0.26369976
11.19768795,5.106281133,0.124382053,-0.263326764
11.20302126,5.105115187,0.124615626,-0.262953257
11.20852064,5.103915661,0.124856527,-0.262567409
11.21369562,5.102789402,0.125083266,-0.262203694
11.21909205,5.101617566,0.12531976,-0.26182373
11.22445128,5.100456447,0.125554676,-0.26144571
11.22968818,5.09932437,0.12578428,-0.261075675
11.23501746,5.098174912,0.126017985,-0.260698445
11.24034501,5.097028439,0.126251666,-0.26032067
11.24567258,5.095884574,0.126485399,-0.259942228
11.25099885,5.094743603,0.126719127,-0.25956321
11.25641282,5.093586533,0.126956757,-0.259177262
11.26164934,5.092469957,0.127186647,-0.25880332
11.26697688,5.091336579,0.127420586,-0.258422211
11.27229627,5.090207561,0.127654218,-0.258041019
11.27762161,5.089079907,0.127888164,-0.257658733
11.28293697,5.087956994,0.128121722,-0.2572765
11.2882553,5.086836082,0.128355463,-0.256893388
11.2936373,5.085704438,0.128592055,-0.256505008
11.29888675,5.084603256,0.128822871,-0.256125543
11.30428882,5.083472754,0.129060451,-0.25573436
11.30951615,5.082381409,0.129290396,-0.255355188
11.31483005,5.081274616,0.129524201,-0.254969071
11.3201382,5.080171661,0.129757805,-0.254582709
11.32544934,5.079070729,0.129991593,-0.254195464
11.33075815,5.07797293,0.13022533,-0.253807726
11.33606563,5.076878055,0.13045906,-0.253419421
11.34137017,5.075786436,0.130692713,-0.253030669
11.346677,5.074697002,0.130926518,-0.252641085
11.35197891,5.073611231,0.131160159,-0.2522512
11.35728791,5.072526672,0.131394165,-0.251860129
11.36258588,5.071447024,0.131627736,-0.251469209
11.36796473,5.070353618,0.131864927,-0.251071639
11.37318776,5.069294507,0.132095297,-0.250684944
11.37848579,5.068222838,0.132329027,-0.250292033
11.38378278,5.067154047,0.132562764,-0.249898538
11.38907884,5.066088115,0.132796512,-0.24950445
11.39437026,5.065025789,0.133030107,-0.249110048
11.39966665,5.06396514,0.133263974,-0.248714612
11.40495917,5.062907942,0.133497723,-0.248318805
11.41026881,5.06185002,0.13373228,-0.247921051
11.41554162,5.060802107,0.133965262,-0.247525401
11.420904,5.059739134,0.134202256,-0.247122351
11.42611663,5.058708482,0.134432682,-0.246729914
11.43140443,5.057665643,0.134666484,-0.246331159
11.43668702,5.056626517,0.134900108,-0.245932136
11.44196798,5.055590399,0.135133713,-0.245532578
11.44725033,5.054556703,0.135367431,-0.245132256
11.45253298,5.053525642,0.135601215,-0.24473125
11.4578133,5.052497734,0.135834949,-0.244329763
11.46309308,5.051472631,0.136068711,-0.243927658
11.46837043,5.050450701,0.136302419,-0.24352508
11.473648,5.04943143,0.136536189,-0.243121826
11.47892075,5.048415794,0.136769798,-0.242718282
11.48419723,5.04740215,0.137003625,-0.242313796
11.48947122,5.046391693,0.137237395,-0.241908841
11.49474626,5.045383747,0.137471264,-0.241503147
11.50001641,5.04437945,0.137704969,-0.241097172
11.50529236,5.043376768,0.137938984,-0.240690091
11.51055779,5.042378802,0.138172586,-0.240283166
